25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26/11/1986,119,7.3,William Shatner,66366,Gene Roddenberry,1986,84713132,Nov,338.852528,317.576579,11147.55249,0.000609973
25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/1986,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,54817937,Dec,219.271748,317.576579,11147.55249,0.000443764
1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,8/5/1987,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,2700000,May,142.1052632,317.576579,11147.55249,0.000336507
25000000,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,12/12/1986,104,6.4,Steve Martin,57406,Steve Martin,1986,14246734,Dec,56.986936,317.576579,11147.55249,0.000218199
25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,23/05/1986,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986,24042224,May,96.168896,317.576579,11147.55249,0.000272659
24500000,Warner Bros.,UK,Roland Joffé,Adventure,17218023,The Mission,PG,31/10/1986,125,7.5,Robert De Niro,47497,Robert Bolt,1986,-7281977,Oct,-29.7223551,317.576579,11147.55249,9.76784E-05
13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17/10/1986,119,7,Paul Newman,62495,Walter Tevis,1986,38493982,Oct,278.9418986,317.576579,11147.55249,0.000526701
6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,21/02/1986,97,7.3,Rutger Hauer,36191,Eric Red,1986,-155132,Feb,-2.585533333,317.576579,11147.55249,0.000135397
10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,26/03/1986,91,6.3,Tom Hanks,41278,David Giler,1986,27499651,Mar,274.99651,317.576579,11147.55249,0.000521217
3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,1/8/1986,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986,16472057,Aug,549.0685667,317.576579,11147.55249,0.000902159
25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,26/11/1986,117,6.6,Harrison Ford,23076,Paul Theroux,1986,-10697221,Nov,-42.788884,317.576579,11147.55249,7.95168E-05
4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,7/11/1986,112,7.1,Gary Oldman,25032,Alex Cox,1986,-1173477,Nov,-29.336925,317.576579,11147.55249,9.82141E-05
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,19/12/1986,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,-5288780,Dec,-52.8878,317.576579,11147.55249,6.548E-05
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,24/10/1986,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,-3239000,Oct,-71.97777778,317.576579,11147.55249,3.89462E-05
18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/1986,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,23382841,Oct,129.9046722,317.576579,11147.55249,0.000319549
