Company,Budget,Director,Profit,Star,Month,Writer,Gross
Touchstone Pictures,10000000,Jeff Kanew,11458229,Burt Lancaster,10,James Orr,21458229
Cinema Group Ventures,12000000,Roger Spottiswoode,-4209069,Robin Williams,1,Ron Shelton,7790931
Paragon Arts International,2000000,Kevin Tenney,5369373,Todd Allen,3,Kevin Tenney,7369373
Touchstone Pictures,14000000,Paul Mazursky,48134225,Nick Nolte,1,René Fauchois,62134225
Capital Equipment Leasing,8500000,Trevor Nunn,-8222354,Helena Bonham Carter,2,Chris Bryant,277646
Producers Sales Organization (PSO),18000000,Hal Ashby,-16694886,Jeff Bridges,4,Lawrence Block,1305114
Cannon Group,8000000,J. Lee Thompson,3834302,Chuck Norris,11,Robert Gosnell,11834302
Amaretto Films,3300000,Richard Wenk,1641117,Chris Makepeace,7,Donald P. Borchers,4941117
Warner Bros.,15000000,Harold Ramis,-2691479,Robin Williams,7,Harry Shearer,12308521
Universal Pictures,40000000,Ivan Reitman,9851591,Robert Redford,6,Ivan Reitman,49851591
Metro-Goldwyn-Mayer (MGM),13000000,Brian De Palma,-4524534,Danny DeVito,4,George Gallo,8475466
HandMade Films,17000000,Jim Goddard,-14684317,Sean Penn,8,John Kohn,2315683
Lorimar Productions,16000000,Sidney Lumet,-12200000,Richard Gere,1,David Himmelstein,3800000
De Laurentiis Entertainment Group (DEG),20000000,Bruce Beresford,2905500,Diane Keaton,1,Beth Henley,22905500
Golan-Globus Productions,6000000,J. Lee Thompson,3947631,Charles Bronson,4,Gail Morgan Hickman,9947631
Cannon Group The,4000000,Sam Firstenberg,679650,Michael Dudikoff,9,James Booth,4679650
Rastar Pictures,18000000,Gene Saks,-6042057,Blythe Danner,12,Neil Simon,11957943
De Laurentiis Entertainment Group (DEG),25000000,Daryl Duke,-20992750,Bryan Brown,11,John Briley,4007250
Escalante Productions,17000000,Dick Richards,-14206786,Burt Reynolds,3,William Goldman,2793214
Columbia Pictures Corporation,14000000,Richard Pryor,4034150,Richard Pryor,5,Rocco Urbisci,18034150
Cinema Group Ventures,3401376,Renny Harlin,-13356,Mike Norris,8,Renny Harlin,3388020
Paramount Pictures,10000000,Michelle Manning,-3052213,Judd Nelson,5,Ross Macdonald,6947787
American Playhouse,2000000,Jerrold Freedman,-698879,Victor Love,12,Richard Wesley,1301121
J&M; Entertainment,18000000,Zoran Perisic,-15704500,Scott McGinnis,10,Thom Keyes,2295500
Cinetel Films,1500000,Fred Olen Ray,-131088,David Carradine,10,T.L. Lankford,1368912
Act III Communications,16000000,Rob Reiner,14857814,Cary Elwes,10,William Goldman,30857814
Cinemarque Entertainment BV,1000000,Clive Barker,13564027,Andrew Robinson,9,Clive Barker,14564027
Natant,30000000,Stanley Kubrick,16357676,Matthew Modine,7,Gustav Hasford,46357676
Great American Films Limited Partnership,6000000,Emile Ardolino,57952836,Patrick Swayze,8,Eleanor Bergstein,63952836
Amercent Films,15000000,John McTiernan,44735548,Arnold Schwarzenegger,6,Jim Thomas,59735548
Braveworld Productions,27000000,Paul Michael Glaser,11122105,Arnold Schwarzenegger,11,Stephen King,38122105
