Company,Budget,Director,Profit,Star,Month,Writer,Gross
New Line Cinema,25000000,Jeremy Leven,-2849549,Johnny Depp,4,Lord Byron,22150451
Golden Harvest Company,10000000,Chia-Liang Liu,1546543,Jackie Chan,10,Edward Tang,11546543
Universal Pictures,60000000,Ivan Reitman,-23236645,Arnold Schwarzenegger,11,Kevin Wade,36763355
Largo Entertainment,27000000,Peter Hyams,17853581,Jean-Claude Van Damme,9,Mark Verheiden,44853581
Nest Family Entertainment,20000000,Richard Rich,-10228342,Jack Palance,11,Richard Rich,9771658
New Line Cinema,3500000,Jeff Pollack,12536534,Duane Martin,3,Jeff Pollack,16036534
Etalon Film,18000000,Robert Altman,-6699347,Sophia Loren,12,Robert Altman,11300653
Incorporated Television Company (ITC),2500000,John Dahl,3638485,Linda Fiorentino,10,Steve Barancik,6138485
Seagal/Nasso Productions,50000000,Steven Seagal,-11409500,Steven Seagal,2,Ed Horowitz,38590500
Savoy Pictures,25000000,Garry Marshall,-18158430,Dana Delany,10,Anne Rice,6841570
New Line Cinema,7400000,Ernest R. Dickerson,290013,Rutger Hauer,4,Eric Bernt,7690013
Channel Four Films,2500000,Danny Boyle,381508,Kerry Fox,2,John Hodge,2881508
Universal Pictures,14000000,Spike Lee,-360000,Alfre Woodard,5,Cinqué Lee,13640000
Heathrow Productions,16000000,Tony Richardson,-12640535,Jessica Lange,9,Rama Laurie Stagner,3359465
Columbia Pictures Corporation,12000000,Christopher Cain,-3085223,Pat Morita,9,Robert Mark Kamen,8914777
Metro-Goldwyn-Mayer (MGM),50000000,Stephen Hopkins,-19844963,Jeff Bridges,7,John Rice,30155037
Don Bluth,28000000,Don Bluth,-16626499,Jodi Benson,3,Hans Christian Andersen,11373501
Universal Pictures,25000000,Russell Mulcahy,7055248,Alec Baldwin,7,Walter B. Gibson,32055248
Miramax,20000000,Woody Allen,-6616263,John Cusack,2,Woody Allen,13383737
Savoy Pictures,13000000,John Waters,-5118665,Kathleen Turner,4,John Waters,7881335
Castle Rock Entertainment,40000000,Rob Reiner,-32861551,Elijah Wood,7,Alan Zweibel,7138449
Columbia Pictures Corporation,20000000,Martin Campbell,-4660000,Ray Liotta,4,Richard Herley,15340000
Cecchi Gori Group Tiger Cinematografica,3000000,Michael Radford,18848932,Massimo Troisi,3,Antonio Skármeta,21848932
Capella International,20000000,Robert Benton,19487686,Paul Newman,1,Richard Russo,39487686
Lumière Pictures,3500000,Boaz Yakin,4594616,Sean Nelson,9,Boaz Yakin,8094616
Beacon Communications,25000000,Alan Parker,-18492486,Anthony Hopkins,10,T. Coraghessan Boyle,6507514
Touchstone Pictures,11000000,Ted Demme,439193,Denis Leary,3,Marie Weiss,11439193
Jersey Films,7000000,John G. Avildsen,12604000,Luke Perry,2,Monte Merrick,19604000
Warner Bros.,6200000,Alan Metter,-6073753,G.W. Bailey,8,Neal Israel,126247
Caravan Pictures,10000000,Keenen Ivory Wayans,19392418,Keenen Ivory Wayans,11,Keenen Ivory Wayans,29392418
Greenleaf Productions,7850000,James Yukich,-5508691,Robert Patrick,11,Paul Dini,2341309
Buckeye Films,200000,David O. Russell,1159736,Jeremy Davies,7,David O. Russell,1359736
Fine Line Features,12000000,Roman Polanski,-9896000,Sigourney Weaver,1,Ariel Dorfman,2104000
Castle Rock Entertainment,40000000,Paul Weiland,3622150,Billy Crystal,6,Lowell Ganz,43622150
Paramount Pictures,25000000,Fred Schepisi,1372663,Tim Robbins,12,Andy Breckman,26372663
Morra Brezner Steinberg and Tenenbaum Entertainment (MBST),19000000,Paul Flaherty,-11588341,Martin Short,4,William Porter,7411659
Imagine Entertainment,35000000,Gregg Champion,-14722815,Woody Harrelson,6,Robert C. Thompson,20277185
Ben-Ami/Leeds Productions,20000000,Charles T. Kanganis,-8216000,Victor Wong,5,Sang-ok Shin,11784000
TriStar Pictures,15000000,Nora Ephron,-8201760,Steve Martin,12,Nora Ephron,6798240
Cineville,700000,George Huang,-323072,Kevin Spacey,4,George Huang,376928
Paramount Pictures,45000000,John Badham,-16279620,Wesley Snipes,12,Tony Griffin,28720380
21st Century Film Corporation,5000000,Allan A. Goldstein,-3297606,Charles Bronson,1,Brian Garfield,1702394
Jackson/McHenry CompanyThe,7000000,Doug McHenry,13851521,Allen Payne,9,Bobby Smith Jr.,20851521
Paramount Pictures,45000000,Mark Rydell,-24071108,Richard Gere,1,David Rayfiel,20928892
Audifilm,4000000,Michele Soavi,-3746031,Rupert Everett,4,Gianni Romoli,253969
Hollywood Pictures,50000000,Deran Sarafian,-33521100,Charlie Sheen,9,David Twohy,16478900
Fallingcloud,26000000,Andrew Morahan,-12170266,Christopher Lambert,1,Gregory Widen,13829734
Aim,1900000,Milcho Manchevski,-1136153,Katrin Cartlidge,2,Milcho Manchevski,763847
Universal Pictures,6000000,Ron Howard,32824341,Michael Keaton,3,David Koepp,38824341
Caméra One,2800000,Nikita Mikhalkov,-183497,Nikita Mikhalkov,4,Rustam Ibragimbekov,2616503
Mulholland Productions,60000000,Glenn Gordon Caron,-41749789,Warren Beatty,10,Mildred Cram,18250211
Metro-Goldwyn-Mayer (MGM),30000000,Howard Deutch,-11561836,Macaulay Culkin,6,Tom S. Parker,18438164
Caravan Pictures,45000000,Charles Shyer,-14193806,Nick Nolte,6,Nancy Meyers,30806194
Planet Productions,2000000,Rodman Flender,260622,Warwick Davis,4,Mark Jones,2260622
Jones Entertainment Group,3000000,John Sayles,3101600,Jeni Courtney,2,Rosalie K. Fry,6101600
Fine Line Features,7000000,Alan Rudolph,-4855333,Jennifer Jason Leigh,11,Alan Rudolph,2144667
Channel Films,20000000,Hugh Wilson,7053498,Shirley MacLaine,3,Hugh Wilson,27053498
Tig Productions,15000000,John Bailey,-11961501,Ed Harris,3,Roy Carlson,3038499
Warner Bros.,30000000,Bill Forsyth,-28480634,Robin Williams,5,Bill Forsyth,1519366
Hollywood Pictures,17080000,Paul Michael Glaser,3931500,Kevin Bacon,1,Max Apple,21011500
Majestic Films International,20000000,Kevin Reynolds,-19694930,Jason Scott Lee,9,Kevin Reynolds,305070
Fine Line Features,2300000,James Gray,-1204115,Tim Roth,5,James Gray,1095885
Nelson Entertainment,13000000,Donald Petrie,-9865919,Harley Jane Kozak,4,Sara Parriott,3134081
Metro-Goldwyn-Mayer (MGM),15000000,Bob Clark,-14929064,Charles Grodin,9,Jean Shepherd,70936
American Playhouse,2300000,Hal Hartley,-1443578,Isabelle Huppert,5,Hal Hartley,856422
Kouf/Bigelow Productions,30000000,Bruce Beresford,-26819326,Richard Dreyfuss,10,Akiva Goldsman,3180674
Barcelona Films,3200000,Whit Stillman,4066973,Taylor Nichols,7,Whit Stillman,7266973
Nelson Entertainment,10500000,Floyd Mutrux,-10376491,Dermot Mulroney,9,Floyd Mutrux,123509
Baltimore Pictures,30000000,Barry Levinson,-26307126,Joe Pesci,3,Barry Levinson,3692874
Columbia Pictures Corporation,44000000,James L. Brooks,-33790889,Nick Nolte,2,James L. Brooks,10209111
Universal Pictures,15000000,Mel Smith,-13700940,Brian Benben,10,George Lucas,1299060
Acme Films Ltd.,200000,Gary Jones,786314,Gunnar Hansen,11,Tom Chaney,986314
Can I Watch,15000,Rose Troche,2393311,V.S. Brodie,7,Rose Troche,2408311
Orion Pictures,10700000,Bill Fishman,-9461920,David Johansen,1,Nat Hiken,1238080
Kino Link Company,1000000,Michael Almereyda,-553066,Elina Löwensohn,9,Michael Almereyda,446934
Walt Disney Pictures,19200000,Xavier Koller,-15862315,Adam Beach,10,Darlene Craviotto,3337685
Metro-Goldwyn-Mayer (MGM),18000000,Mick Jackson,-10496808,Dana Carvey,5,Robert King,7503192
Capitol Films,20000000,Bruce Beresford,-17691610,Colin Friels,9,William Boyd,2308390
Cecchi Gori Pictures,33000000,David Fincher,67125643,Morgan Freeman,9,Andrew Kevin Walker,100125643
TriStar Pictures,50000000,Joe Johnston,50475249,Robin Williams,12,Jonathan Hensleigh,100475249
Icon Entertainment International,72000000,Mel Gibson,3600000,Mel Gibson,5,Randall Wallace,75600000
PolyGram Filmed Entertainment,6000000,Bryan Singer,17341568,Kevin Spacey,9,Christopher McQuarrie,23341568
Warner Bros.,60000000,Michael Mann,7436818,Al Pacino,12,Michael Mann,67436818
Paramount Pictures,12000000,Amy Heckerling,44631572,Alicia Silverstone,7,Amy Heckerling,56631572
Walt Disney Pictures,55000000,Mike Gabriel,86600000,Mel Gibson,6,Carl Binder,141600000
Universal Pictures,29000001,Terry Gilliam,28141458,Bruce Willis,1,Chris Marker,57141459
Pixar Animation Studios,30000000,John Lasseter,161796233,Tom Hanks,11,John Lasseter,191796233
Warner Bros.,100000000,Joel Schumacher,84031112,Val Kilmer,6,Bob Kane,184031112
Eon Productions,60000000,Martin Campbell,46600000,Pierce Brosnan,11,Ian Fleming,106600000
Universal Pictures,52000000,Martin Scorsese,-9561700,Robert De Niro,11,Nicholas Pileggi,42438300
Guys Upstairs,1500000,Larry Clark,5917210,Leo Fitzpatrick,9,Harmony Korine,7417210
Carolco Pictures,45000000,Paul Verhoeven,-24697039,Elizabeth Berkley,9,Joe Eszterhas,20302961
Universal Pictures,50000000,Brad Silberling,50328194,Bill Pullman,5,Joseph Oriolo,100328194
New Line Cinema,3500000,F. Gary Gray,23967564,Ice Cube,4,Ice Cube,27467564
Castle Rock Entertainment,2500000,Richard Linklater,3035405,Ethan Hawke,1,Richard Linklater,5535405
New Line Cinema,18000000,Paul W.S. Anderson,52454098,Christopher Lambert,8,Ed Boon,70454098
Universal Pictures,52000000,Ron Howard,121837933,Tom Hanks,6,Jim Lovell,173837933
United Artists,20000000,Iain Softley,-12436000,Jonny Lee Miller,9,Rafael Moreu,7564000
Don Simpson/Jerry Bruckheimer Films,19000000,Michael Bay,46807024,Will Smith,4,George Gallo,65807024
Cinergi Pictures Entertainment,90000000,John McTiernan,10012499,Bruce Willis,5,Jonathan Hensleigh,100012499
Universal Pictures,10000000,Tamra Davis,15588750,Adam Sandler,2,Tim Herlihy,25588750
Universal Pictures,175000000,Kevin Reynolds,-86753780,Kevin Costner,7,Peter Rader,88246220
Paramount Pictures,50000000,Frank Marshall,31022101,Laura Linney,6,Michael Crichton,81022101
Columbia Pictures Corporation,16000000,Ang Lee,27182776,Emma Thompson,1,Jane Austen,43182776
Metro-Goldwyn-Mayer (MGM),30250000,Barry Sonnenfeld,41827000,Gene Hackman,10,Elmore Leonard,72077000
Universal Pictures,62000000,Rob Reiner,3000000,Michael Douglas,11,Aaron Sorkin,65000000
Trilogy Entertainment Group,25000000,Rachel Talalay,-20935667,Lori Petty,3,Alan Martin,4064333
Caravan Pictures,9500000,Victor Salva,21362146,Mary Steenburgen,10,Victor Salva,30862146
Metro-Goldwyn-Mayer (MGM),35000000,Roger Donaldson,25074103,Natasha Henstridge,7,Dennis Feldman,60074103
Club d'Investissement Média,18000000,Marc Caro,-16486972,Ron Perlman,12,Gilles Adrien,1513028
Lumiere Pictures,3600000,Mike Figgis,28368347,Nicolas Cage,2,John O'Brien,31968347
Columbia Pictures Corporation,7000000,Robert Rodriguez,18625110,Antonio Banderas,8,Robert Rodriguez,25625110
Universal Pictures,30000000,Chris Noonan,36600000,James Cromwell,8,Dick King-Smith,66600000
Lightstorm Entertainment,42000000,Kathryn Bigelow,-34081000,Ralph Fiennes,10,James Cameron,7919000
Morgan Creek Productions,30000000,Steve Oedekerk,78385533,Jim Carrey,11,Jack Bernstein,108385533
Miramax,4000000,Allison Anders,301331,Tim Roth,12,Allison Anders,4301331
Hollywood Pictures,17000000,Jon Turteltaub,64057016,Sandra Bullock,4,Daniel G. Sullivan,81057016
TriStar Pictures,32000000,Sam Raimi,-13363463,Sharon Stone,2,Simon Moore,18636537
Hollywood Pictures,70000000,Danny Cannon,-35306519,Sylvester Stallone,6,John Wagner,34693481
Universal Pictures,22000000,John Carpenter,-12582433,Christopher Reeve,4,John Wyndham,9417567
Warner Bros.,17000000,Alfonso Cuarón,-6980693,Liesel Matthews,5,Frances Hodgson Burnett,10019307
Paramount Pictures,12000000,Betty Thomas,34576136,Shelley Long,2,Sherwood Schwartz,46576136
Havoc,11000000,Tim Robbins,28387284,Susan Sarandon,2,Helen Prejean,39387284
Lancaster Gate,25000000,Howard Deutch,44870000,Walter Matthau,12,Mark Steven Johnson,69870000
Regency Enterprises,20000000,Jon Amiel,12051917,Sigourney Weaver,10,Ann Biderman,32051917
Twentieth Century Fox Film Corporation,15000000,Bryan Spicer,22804616,Karan Ashley,6,John Kamps,37804616
Warner Bros.,50000000,Wolfgang Petersen,17823573,Dustin Hoffman,3,Laurence Dworet,67823573
Pandora Filmproduktion,9000000,Jim Jarmusch,-7962153,Johnny Depp,5,Jim Jarmusch,1037847
Hollywood Pictures,53000000,Tony Scott,38400000,Gene Hackman,5,Michael Schiffer,91400000
Warner Bros.,24000000,Clint Eastwood,47516617,Clint Eastwood,6,Richard LaGravenese,71516617
Hollywood Pictures,23000000,John N. Smith,61919401,Michelle Pfeiffer,8,LouAnne Johnson,84919401
Columbia Pictures Corporation,20000000,Gus Van Sant,1284514,Nicole Kidman,10,Joyce Maynard,21284514
Gramercy Pictures (I),6000000,Kevin Smith,-3877439,Shannen Doherty,10,Kevin Smith,2122561
Halloween VI Productions,5000000,Joe Chappelle,10116634,Donald Pleasence,9,Debra Hill,15116634
Warner Bros.,60000000,Geoff Murphy,-9975917,Steven Seagal,7,Richard Hatem,50024083
TriStar Pictures,25000000,Robert Longo,-5924000,Keanu Reeves,5,William Gibson,19076000
Twentieth Century Fox Film Corporation,20000000,Alfonso Arau,30012507,Keanu Reeves,8,Robert Mark Kamen,50012507
Sweetland Films,15000000,Woody Allen,-8300000,Woody Allen,11,Woody Allen,6700000
Warner Bros.,50000000,Richard Donner,-19693732,Sylvester Stallone,10,Lilly Wachowski,30306268
Constellation Entertainment,58000000,Sydney Pollack,-4327920,Harrison Ford,12,Samuel A. Taylor,53672080
United Artists,28000000,Michael Caton-Jones,3600000,Liam Neeson,4,Alan Sharp,31600000
Columbia Pictures Corporation,55000000,Jerry Zucker,-17399565,Sean Connery,7,Lorne Cameron,37600435
Gaumont,30000000,Mel Brooks,-19306351,Leslie Nielsen,12,Mel Brooks,10693649
Beckner/Gorman Productions,98000000,Renny Harlin,-87982678,Geena Davis,12,Michael Frost Beckner,10017322
Tales From The Crypt Holdings,13000000,Ernest R. Dickerson,8088568,Billy Zane,1,Ethan Reiff,21088568
Columbia Pictures Corporation,22000000,Irwin Winkler,28727965,Sandra Bullock,7,John Brancato,50727965
Caravan Pictures,10000000,Albert Hughes,14200000,Larenz Tate,10,Allen Hughes,24200000
Columbia Pictures Corporation,45000000,Frank Oz,-9382401,Hal Scardino,7,Lynne Reid Banks,35617599
Hollywood Pictures,23000000,Stephen Herek,59569971,Richard Dreyfuss,1,Patrick Sheane Duncan,82569971
Allied Stars Ltd.,50000000,Roland Joffé,-39600000,Demi Moore,10,Nathaniel Hawthorne,10400000
Eddie Murphy Productions,20000000,Wes Craven,-248264,Eddie Murphy,10,Eddie Murphy,19751736
Tapestry Films,15000000,Michael Gottlieb,-1593283,Thomas Ian Nicholas,8,Michael Part,13406717
First Look International,8000000,Gregory Widen,8115878,Christopher Walken,9,Gregory Widen,16115878
Sandollar Productions,30000000,Charles Shyer,46594000,Steve Martin,12,Albert Hackett,76594000
Suburban Pictures,800000,Todd Solondz,3971000,Heather Matarazzo,5,Todd Solondz,4771000
United Artists,30000000,Walter Hill,-27832192,Jeff Bridges,12,Peter Dexter,2167808
Triumph Films,20000000,Christian Duguay,-14218115,Peter Weller,1,Philip K. Dick,5781885
Beacon Communications,6500000,Melanie Mayron,3185976,Schuyler Fisk,8,Ann M. Martin,9685976
FIT Productions,8000000,Agnieszka Holland,-7660111,Leonardo DiCaprio,11,Christopher Hampton,339889
Paramount Pictures,30000000,Brett Leonard,-5952000,Denzel Washington,8,Eric Bernt,24048000
Cinergi Pictures Entertainment,50000000,Oliver Stone,-36439040,Anthony Hopkins,1,Stephen J. Rivele,13560960
Paramount Pictures,50000000,William Friedkin,-40204983,David Caruso,10,Joe Eszterhas,9795017
Caravan Pictures,12000000,Holly Goldberg Sloan,5725500,Steve Guttenberg,9,Holly Goldberg Sloan,17725500
Seraphim Films,12000000,Clive Barker,1293081,Scott Bakula,8,Clive Barker,13293081
Golden Harvest Company,7500000,Stanley Tong,24892047,Jackie Chan,2,Edward Tang,32392047
American Playhouse Theatrical Films,1000000,Todd Haynes,-487755,Julianne Moore,6,Todd Haynes,512245
Universal Pictures,10000000,Jocelyn Moorhouse,13574130,Winona Ryder,10,Whitney Otto,23574130
Castle Rock Entertainment,11000000,Oliver Parker,-8887049,Laurence Fishburne,1,Oliver Parker,2112951
Twentieth Century Fox Film Corporation,16000000,Forest Whitaker,51052156,Whitney Houston,12,Terry McMillan,67052156
Universal Pictures,35000000,Peter Hyams,-14649829,Jean-Claude Van Damme,12,Karen Elise Baldwin,20350171
Universal Pictures,25000000,Spike Lee,-11959397,Harvey Keitel,9,Richard Price,13040603
Miramax,7000000,Gary Fleder,-6470234,Andy Garcia,12,Scott Rosenberg,529766
Dog Eat Dog Films,11000000,Michael Moore,-10821896,John Candy,9,Michael Moore,178104
American Playhouse,5500000,Gregory Nava,5579373,Jimmy Smits,5,Gregory Nava,11079373
JDI Productions,500000,Tom DiCillo,648752,Steve Buscemi,7,Tom DiCillo,1148752
Miramax,7000000,Wayne Wang,1349430,Harvey Keitel,6,Paul Auster,8349430
TriStar Pictures,27000000,Carl Franklin,-10969904,Denzel Washington,9,Walter Mosley,16030096
Miramax,9000000,Sean Penn,-8167090,Jack Nicholson,11,Sean Penn,832910
Columbia Pictures,68000000,Joseph Ruben,-32675768,Wesley Snipes,11,Doug Richardson,35324232
Paramount Pictures,33000000,John Badham,-24830637,Johnny Depp,11,Patrick Sheane Duncan,8169363
Paramount Pictures,20000000,Jodie Foster,-2481780,Holly Hunter,11,Chris Radant,17518220
Twentieth Century Fox Film Corporation,40000000,Barbet Schroeder,-25057578,David Caruso,4,Eleazar Lipsky,14942422
40 Acres & A Mule Filmworks,6000000,Rusty Cundieff,5797927,Clarence Williams III,5,Rusty Cundieff,11797927
Paramount Pictures,17000000,Stephen Gyllenhaal,-9396234,Jessica Lange,3,Seth Margolis,7603766
Alcor Films,21000000,Herbert Ross,2450000,Whoopi Goldberg,2,Don Roos,23450000
Caravan Pictures,32000000,Jeremiah S. Chechik,-23752373,Patrick Swayze,3,Steve Bloom,8247627
Savoy Pictures,15000000,Preston A. Whitmore II,-8985660,Allen Payne,2,Preston A. Whitmore II,6014340
Brothers McMullen Productions,25000,Edward Burns,10221600,Jack Mulcahy,8,Edward Burns,10246600
Warner Bros.,50000000,Andrew Sipes,-38465523,William Baldwin,11,Paula Gosling,11534477
Fine Line Features,250000,Maria Maggenti,1727544,Laurel Holloman,6,Maria Maggenti,1977544
A Band Apart,7000000,Desmond Nakano,-3239485,John Travolta,12,Desmond Nakano,3760515
Metro-Goldwyn-Mayer (MGM),15000000,Carlo Carlei,-11012351,Matthew Modine,6,James Herbert,3987649
Avenue Pictures,19000000,Michael Hoffman,-14900000,Robert Downey Jr.,2,Rose Tremain,4100000
Miramax,2000000,Paul Auster,-724001,Harvey Keitel,10,Paul Auster,1275999
Universal Pictures,10000000,J.F. Lawton,-3392348,Christopher Lambert,2,J.F. Lawton,6607652
Hollywood Pictures,10500000,Randall Miller,15825256,Sinbad,1,Michael J. Di Gaetano,26325256
TriStar Pictures,15000000,Brett Leonard,-2798745,Jeff Goldblum,3,Dean R. Koontz,12201255
Metro-Goldwyn-Mayer (MGM),28000000,Don Bluth,-24016088,Martin Short,4,Rachel Koretsky,3983912
TriStar Pictures,6400000,Peter Hall,449998,Rebecca De Mornay,10,Lewis A. Green,6849998
Rank Organisation The,8000000,David Price,-5236980,Sean Young,8,David Price,2763020
Touchstone Pictures,14000000,James Ivory,-11526000,Nick Nolte,3,Ruth Prawer Jhabvala,2474000
40 Acres & A Mule Filmworks,5000000,Nick Gomez,-1434492,Shar-Ron Corley,4,Nick Gomez,3565508
British Broadcasting Corporation (BBC),4000000,Mike Newell,-3741805,Hugh Grant,7,Beryl Bainbridge,258195
Party Productions,150000,Daisy von Scherler Mayer,322370,Parker Posey,6,Harry Birckmayer,472370
Castle Rock Entertainment,23000000,John Boorman,-17249890,Patricia Arquette,8,Alex Lasker,5750110
Republic Pictures (II),3000000,Mark Jones,-2705009,Max Grodénchik,11,Mark Jones,294991
Populist Pictures,6500000,Steven Soderbergh,-5963977,Peter Gallagher,4,Don Tracy,536023
Samuel Goldwyn Company The,11000000,Mira Nair,-8167174,Marisa Tomei,5,Christine Bell,2832826
Live Entertainment,6000000,Aaron Norris,-906293,Chuck Norris,4,Aaron Norris,5093707
Avrora Media,2000000,Anthony Waller,-795570,Marina Zudina,9,Anthony Waller,1204430
Charles Matthau-Jerry Tokofsky-John Davis Productions,8000000,Charles Matthau,-7506993,Piper Laurie,10,Truman Capote,493007
Hollywood Pictures,22000000,Peter Yates,-9900000,Peter Falk,3,Max Apple,12100000
Ferdos Films,150000,Jafar Panahi,324047,Aida Mohammadkhani,11,Abbas Kiarostami,474047
Michael Ritchie Productions,10000000,Michael Ritchie,-9955243,Joel Grey,6,Tom Jones,44757
Warner Bros.,92000000,Jan de Bont,149721524,Helen Hunt,5,Michael Crichton,241721524
Channel Four Films,3500000,Danny Boyle,13001785,Ewan McGregor,8,John Hodge,16501785
PolyGram Filmed Entertainment,7000000,Joel Coen,17611975,William H. Macy,4,Ethan Coen,24611975
Dimension Films,14000000,Wes Craven,89046663,Neve Campbell,12,Kevin Williamson,103046663
Dimension Films,19000000,Robert Rodriguez,6753840,Harvey Keitel,1,Robert Kurtzman,25753840
Twentieth Century Fox Film Corporation,75000000,Roland Emmerich,231169255,Will Smith,7,Dean Devlin,306169255
Bazmark Films,14500000,Baz Luhrmann,31851345,Leonardo DiCaprio,11,William Shakespeare,46351345
TriStar Pictures,36000000,Danny DeVito,-2915751,Danny DeVito,8,Roald Dahl,33084249
Universal Pictures,12000000,Dennis Dugan,26624000,Adam Sandler,2,Tim Herlihy,38624000
NDF International,3000000,Mira Nair,1109095,Naveen Andrews,2,Helena Kriel,4109095
Astoria Films,44000000,Barry Levinson,5100000,Robert De Niro,10,Lorenzo Carcaterra,49100000
Miramax,27000000,Anthony Minghella,51651430,Ralph Fiennes,12,Michael Ondaatje,78651430
TriStar Pictures,50000000,Cameron Crowe,103952592,Tom Cruise,12,Cameron Crowe,153952592
Columbia Pictures Corporation,15000000,Andrew Fleming,9881000,Robin Tunney,5,Peter Filardi,24881000
Paramount Pictures,80000000,Brian De Palma,100981856,Tom Cruise,5,Bruce Geller,180981856
Paramount Pictures,30000000,Gregory Hoblit,26116183,Richard Gere,4,William Diehl,56116183
Warner Bros. Family Entertainment,80000000,Joe Pytka,10463534,Michael Jordan,11,Leo Benvenuti,90463534
Hollywood Pictures,75000000,Michael Bay,59069511,Sean Connery,6,David Weisberg,134069511
Regency Enterprises,40000000,Joel Schumacher,68766007,Matthew McConaughey,7,John Grisham,108766007
Tim Burton Productions,70000000,Tim Burton,-32228983,Jack Nicholson,12,Len Brown,37771017
Dimension Films,4000000,Kevin Yagher,12675000,Bruce Ramsay,3,Peter Atkins,16675000
Columbia Pictures Corporation,36000000,Milos Forman,-15808688,Woody Harrelson,1,Scott Alexander,20191312
United Artists,31000000,Mike Nichols,93060553,Robin Williams,3,Jean Poiret,124060553
New Line Cinema,40000000,John Frankenheimer,-12336018,David Thewlis,8,H.G. Wells,27663982
Walt Disney Feature Animation,100000000,Gary Trousdale,138851,Demi Moore,6,Tab Murphy,100138851
Twentieth Century Fox Film Corporation,25000000,Nicholas Hytner,-17659897,Daniel Day-Lewis,11,Arthur Miller,7340103
Clavius Base,26000000,Tom Hanks,-190187,Tom Hanks,10,Tom Hanks,25809813
Miramax,890000,Billy Bob Thornton,23585416,Billy Bob Thornton,3,Billy Bob Thornton,24475416
Digital Image Associates,45000000,Jonathan Frakes,47001027,Patrick Stewart,11,Gene Roddenberry,92001027
Alliance Communications Corporation,9000000,David Cronenberg,-6961550,James Spader,3,J.G. Ballard,2038450
Warner Bros.,55000000,Stuart Baird,1569216,Kurt Russell,3,Jim Thomas,56569216
Regency Enterprises,45000000,Ron Shelton,8854588,Kevin Costner,8,John Norville,53854588
Columbia Pictures Corporation,7000000,Wes Anderson,-6439931,Luke Wilson,2,Owen Wilson,560069
Motion Picture Corporation of America (MPCA),15000000,Jason Bloom,11757000,Pauly Shore,1,Adam Leff,26757000
Walt Disney Pictures,75000000,Stephen Herek,61189294,Glenn Close,11,Dodie Smith,136189294
Island Pictures,3800000,Paris Barclay,16309115,Shawn Wayans,1,Shawn Wayans,20109115
Rysher Entertainment,27000000,Bobby Farrelly,-2055787,Woody Harrelson,7,Barry Fanaro,24944213
Walt Disney Pictures,38000000,Henry Selick,-9065242,Paul Terry,4,Roald Dahl,28934758
Dino De Laurentiis Company,4500000,Lana Wachowski,-701468,Jennifer Tilly,10,Lilly Wachowski,3798532
Castle Rock Entertainment,40000000,Andrew Bergman,-6890257,Demi Moore,6,Carl Hiaasen,33109743
Paramount Pictures,26000000,Hugh Wilson,79489203,Goldie Hawn,9,Olivia Goldsmith,105489203
Paramount Pictures,8500000,Tom Holland,6671475,Joe Mantegna,10,Stephen King,15171475
Universal Pictures,57000000,Rob Cohen,-5632625,Dennis Quaid,5,Patrick Read Johnson,51367375
Imagine Entertainment,54000000,Tom Shadyac,74814019,Eddie Murphy,6,Jerry Lewis,128814019
Doug Liman Productions,200000,Doug Liman,4305922,Vince Vaughn,4,Jon Favreau,4505922
Columbia Pictures Corporation,47000000,Ben Stiller,13240295,Jim Carrey,6,Lou Holtz Jr.,60240295
Castle Rock Entertainment,18000000,Kenneth Branagh,-13585465,Kenneth Branagh,12,William Shakespeare,4414535
Universal Pictures,30000000,Peter Jackson,-13240784,Michael J. Fox,7,Fran Walsh,16759216
Fiction Films,10000000,Bernardo Bertolucci,-5426670,Jeremy Irons,6,Bernardo Bertolucci,4573330
Miramax,6000000,Douglas McGrath,16201883,Gwyneth Paltrow,8,Jane Austen,22201883
Paramount Pictures,50000000,John Carpenter,-24522635,Kurt Russell,8,John Carpenter,25477365
Forge,65000000,Renny Harlin,-31671949,Geena Davis,10,Shane Black,33328051
American Zoetrope,45000000,Francis Ford Coppola,13620973,Robin Williams,8,James DeMonaco,58620973
Kopelson Entertainment,100000000,Chuck Russell,1295562,Arnold Schwarzenegger,6,Tony Puryear,101295562
Twentieth Century Fox Film Corporation,50000000,John Woo,20770147,John Travolta,2,Graham Yost,70770147
Columbia Pictures Corporation,45000000,Harold Ramis,-24900000,Michael Keaton,7,Chris Miller,20100000
New Line Cinema,9000000,F. Gary Gray,27049108,Jada Pinkett Smith,11,Takashi Bufford,36049108
Live Entertainment,25000000,David Twohy,-10951628,Charlie Sheen,5,David Twohy,14048372
Constellation Entertainment,55000000,Stephen Hopkins,-16380595,Michael Douglas,10,William Goldman,38619405
Rysher Entertainment,4100000,Campbell Scott,7781039,Tony Shalhoub,9,Stanley Tucci,11881039
1492 Pictures,60000000,Brian Levant,573641,Arnold Schwarzenegger,11,Randy Kornfield,60573641
Twentieth Century Fox Film Corporation,31000000,David S. Ward,-5214397,Kelsey Grammer,3,Hugh Wilson,25785603
Touchstone Pictures,80000000,Ron Howard,56492681,Mel Gibson,11,Cyril Hume,136492681
Hollywood Pictures,55000000,Alan Parker,-4952821,Madonna,1,Tim Rice,50047179
Lone Wolf,67000000,Walter Hill,-49400000,Bruce Willis,9,Ryûzô Kikushima,17600000
Touchstone Pictures,32000000,Jon Turteltaub,72636382,John Travolta,7,Gerald Di Pego,104636382
