Brooksfilms,USA,Alan Johnson,Action,PG-13,Richard Jordan,Walon Green
Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,PG-13,Walter Matthau,John Brownjohn
Touchstone Pictures,USA,Jeff Kanew,Comedy,PG,Burt Lancaster,James Orr
Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,PG-13,Robin Williams,Ron Shelton
Paragon Arts International,UK,Kevin Tenney,Horror,R,Todd Allen,Kevin Tenney
Touchstone Pictures,USA,Paul Mazursky,Comedy,R,Nick Nolte,René Fauchois
Capital Equipment Leasing,UK,Trevor Nunn,Biography,PG-13,Helena Bonham Carter,Chris Bryant
Producers Sales Organization (PSO),USA,Hal Ashby,Action,R,Jeff Bridges,Lawrence Block
Cannon Group,USA,J. Lee Thompson,Action,PG,Chuck Norris,Robert Gosnell
Amaretto Films,USA,Richard Wenk,Comedy,R,Chris Makepeace,Donald P. Borchers
Warner Bros.,USA,Harold Ramis,Comedy,PG-13,Robin Williams,Harry Shearer
Universal Pictures,USA,Ivan Reitman,Comedy,PG,Robert Redford,Ivan Reitman
Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,R,Danny DeVito,George Gallo
HandMade Films,UK,Jim Goddard,Adventure,PG-13,Sean Penn,John Kohn
Lorimar Productions,USA,Sidney Lumet,Drama,R,Richard Gere,David Himmelstein
De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,PG-13,Diane Keaton,Beth Henley
Golan-Globus Productions,USA,J. Lee Thompson,Action,R,Charles Bronson,Gail Morgan Hickman
Cannon Group The,USA,Sam Firstenberg,Action,R,Michael Dudikoff,James Booth
Rastar Pictures,USA,Gene Saks,Comedy,PG-13,Blythe Danner,Neil Simon
De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,R,Bryan Brown,John Briley
Escalante Productions,USA,Dick Richards,Action,R,Burt Reynolds,William Goldman
Columbia Pictures Corporation,USA,Richard Pryor,Biography,R,Richard Pryor,Rocco Urbisci
Cinema Group Ventures,USA,Renny Harlin,Action,R,Mike Norris,Renny Harlin
Paramount Pictures,USA,Michelle Manning,Action,R,Judd Nelson,Ross Macdonald
American Playhouse,USA,Jerrold Freedman,Drama,PG,Victor Love,Richard Wesley
J&M; Entertainment,UK,Zoran Perisic,Action,PG,Scott McGinnis,Thom Keyes
Cinetel Films,USA,Fred Olen Ray,Action,R,David Carradine,T.L. Lankford
Act III Communications,USA,Rob Reiner,Adventure,PG,Cary Elwes,William Goldman
Cinemarque Entertainment BV,UK,Clive Barker,Horror,R,Andrew Robinson,Clive Barker
Natant,UK,Stanley Kubrick,Drama,R,Matthew Modine,Gustav Hasford
Great American Films Limited Partnership,USA,Emile Ardolino,Drama,PG-13,Patrick Swayze,Eleanor Bergstein
Amercent Films,USA,John McTiernan,Action,R,Arnold Schwarzenegger,Jim Thomas
Braveworld Productions,USA,Paul Michael Glaser,Action,R,Arnold Schwarzenegger,Stephen King
Brooksfilms,USA,Mel Brooks,Adventure,PG,Mel Brooks,Mel Brooks
Orion Pictures,USA,Paul Verhoeven,Action,R,Peter Weller,Edward Neumeier
Warner Bros.,USA,Richard Donner,Action,R,Mel Gibson,Shane Black
Paramount Pictures,USA,Brian De Palma,Crime,R,Kevin Costner,Oscar Fraley
De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,R,Bruce Campbell,Sam Raimi
Golan-Globus Productions,USA,Gary Goddard,Action,PG,Dolph Lundgren,David Odell
Home Box Office (HBO),USA,Fred Dekker,Action,PG-13,Andre Gower,Shane Black
Paramount Pictures,USA,Adrian Lyne,Drama,R,Michael Douglas,James Dearden
Eon Productions,UK,John Glen,Action,PG,Timothy Dalton,Richard Maibaum
Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,R,Charlie Sheen,Stanley Weiser
Amblin Entertainment,USA,Steven Spielberg,Drama,PG,Christian Bale,Tom Stoppard
Warner Bros.,USA,George Miller,Comedy,R,Jack Nicholson,John Updike
New Line Cinema,USA,Chuck Russell,Action,R,Heather Langenkamp,Wes Craven
Universal Pictures,USA,Joseph Sargent,Adventure,PG-13,Lorraine Gary,Peter Benchley
Cannon Group,USA,Menahem Golan,Action,PG,Sylvester Stallone,Gary Conway
Paramount Pictures,USA,John Hughes,Comedy,R,Steve Martin,John Hughes
Circle Films,USA,Joel Coen,Comedy,PG-13,Nicolas Cage,Ethan Coen
Carolco International N.V.,UK,Alan Parker,Horror,R,Mickey Rourke,William Hjortsberg
Gladden Entertainment,USA,Michael Gottlieb,Comedy,PG,Andrew McCarthy,Edward Rugoff
Warner Bros.,USA,Joe Dante,Action,PG,Dennis Quaid,Chip Proser
Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,PG,Cher,John Patrick Shanley
Paramount Pictures,USA,Tony Scott,Action,R,Eddie Murphy,Danilo Bach
Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,PG-13,John Lone,Mark Peploe
Touchstone Pictures,USA,Barry Levinson,Biography,R,Robin Williams,Mitch Markowitz
Merchant Ivory Productions,UK,James Ivory,Drama,R,James Wilby,E.M. Forster
Interscope Communications,USA,Leonard Nimoy,Comedy,PG,Tom Selleck,Coline Serreau
Alive Films,USA,John Carpenter,Horror,R,Donald Pleasence,John Carpenter
Columbia Pictures Corporation,USA,Luis Valdez,Biography,PG-13,Lou Diamond Phillips,Luis Valdez
F/M,USA,Kathryn Bigelow,Action,R,Adrian Pasdar,Kathryn Bigelow
Orion Pictures,USA,Roger Donaldson,Action,R,Kevin Costner,Kenneth Fearing
Amercent Films,USA,James L. Brooks,Comedy,R,William Hurt,James L. Brooks
New Century Entertainment Corporation,Canada,Tibor Takács,Fantasy,PG-13,Stephen Dorff,Michael Nankin
Cannon Films,UK,Sidney J. Furie,Action,PG,Christopher Reeve,Joe Shuster
Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,R,George Kennedy,Stephen King
Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,PG,Jason Bateman,Jeph Loeb
Columbia Pictures Industries,USA,Fred Schepisi,Comedy,PG,Steve Martin,Edmond Rostand
Rastar Pictures,USA,Herbert Ross,Comedy,PG-13,Michael J. Fox,Jim Cash
Applied Action,USA,Tom Mankiewicz,Comedy,PG-13,Dan Aykroyd,Dan Aykroyd
TriStar Pictures,USA,Blake Edwards,Comedy,PG-13,Kim Basinger,Dale Launer
Atlantic Entertainment Group,USA,Rod Amateau,Adventure,PG,Anthony Newley,Linda Palmer
Orion Pictures,USA,Danny DeVito,Comedy,PG-13,Danny DeVito,Stu Silver
Golan-Globus Productions,USA,Barbet Schroeder,Comedy,R,Mickey Rourke,Charles Bukowski
Universal Pictures,USA,Phil Joanou,Comedy,PG-13,Casey Siemaszko,Richard Christian Matheson
Amercent Films,USA,James Toback,Comedy,PG-13,Molly Ringwald,James Toback
Orion Pictures,USA,Woody Allen,Comedy,PG,Mia Farrow,Woody Allen
Emshell Producers,USA,John R. Cherry III,Comedy,PG,Jim Varney,John R. Cherry III
